"Timestamp","Team Name","Average Team Education & Experience","Project Name","Brief Project Description","3rd Party Libraries & Assets","Link to view project code","Upload Video Demo (Preferred)","Link to Video (if you have problems with video upload)"
"2023/03/25 3:48:45 PM CST","Shark Side of the Moon","2 - 3 Years","I Can't Decide What to Watch","Website to find movie suggestions and to create a group with friends to vote on what to watch as well as a visualization showing top 200 grossing movies in each maturity rating category","angular, gorilla/websockets, tmdb api, Tableau","https://git.int32.dev/jadon/movie-recommender-backend/     https://git.int32.dev/jadon/movie-recommender","https://drive.google.com/u/1/open?usp=forms_web&id=1YzMj2O9iT9YBePCCFX3qlBc7M1Aps420",
"2023/03/25 3:50:54 PM CST","ZawgPack","2 - 3 Years","Memeware","A chrome extension that blocks most ads... and replaces them with memes.","I used chromes extension tools. The project is just two .js files and one .json file. I also used an api to get most of the memes stored in the array.","https://gitlab.cs.usu.edu/JustinZog/memeware","https://drive.google.com/u/1/open?usp=forms_web&id=1LBX3Zy5b21HBN9gA6tk7JpV5HoUeaT2a",
"2023/03/25 3:53:43 PM CST","TurboTailor","2 - 3 Years","TurboTailor","Turbo Tailor is a groundbreaking solution designed to transform interactions with AI and customer service, making them more personalized and efficient. By incorporating advanced technologies like sentiment analysis and transformer models, we have created a system that adapts to individual needs, catering to students, businesses, and anyone seeking assistance. This innovative solution is usable across all platforms including IOS, Android, and the Web. ","GPT-3.5 Turbo API, Sentiment Analysis(Rapid API), Firebase Backend(Firestore)","https://github.com/sammieatkins/turbo_tailor/tree/master",,"https://clipchamp.com/watch/3BdlxGJ6IAX"
"2023/03/25 3:53:56 PM CST","USU-APEX","2 - 3 Years","USU-APEX","Engineering Calculator for Students","python standard, matplotlib, sympy, numpy, tkinter","https://github.com/ajburns147/usu-apex","https://drive.google.com/u/1/open?usp=forms_web&id=1t8WjieezA7vJxEYl4Z1Qg6m4WExxtMnl",
"2023/03/25 3:57:21 PM CST","EasyHeal","1 - 2 Years","EasyHeal","***We resubmit our project with a better video qualy.*** 

Coping with loss can be a daily challenge, and many people struggle to find ways to honor and remember their loved ones. Our web application is designed to provide personalized support and companionship for those experiencing loss. Through our platform, users can celebrate the lives of their loved ones and express their feelings in a way that feels authentic and meaningful to them. Our aim is to offer a space of comfort and healing for individuals who are navigating this difficult journey.","Node.js, React, MUI, Firebase, MongoDB, Figma, Git, Github, Canva, and iMovie","https://github.com/ooioiooGT/hack.git","https://drive.google.com/u/1/open?usp=forms_web&id=1aH3FRPi5G5gkKxlMccXwh63gwCH6PwcY",
"2023/03/25 3:57:59 PM CST","File Explorer: Hard Mode ","2 - 3 Years","File Explorer: Hard Mode","An esoteric file explorer. It encourages users to think in outside the box and see there is always another way to solve a problem. It is a mix of utility and fun. ","pygame, os","https://drive.google.com/file/d/15V2thwRMCohBBNinu5A2lyXOlbGqFtaL/view?usp=sharing","https://drive.google.com/u/1/open?usp=forms_web&id=1UEbnJGU62V6fcjciPCVCBhSZuqqspSG5",
"2023/03/25 4:03:06 PM CST","run time terror","1 - 2 Years","Humans Vs Zombies Full Stack Web App.","A replacement for the currentHumans Vs Zombies site","** Use the video link instead of the attached google drive file. 

Backend (python):
mysql.connector
Flask

Database:
MySQL

Frontend:
React.JS (HTML CSS)
React-Bootstrap
Fetch()

Authentication (Login):
Google Firebase
","https://github.com/hutonahill/HvZ_USU_Site","https://drive.google.com/u/1/open?usp=forms_web&id=10i1s1dng1b1M3OH6NDxudTClbnc0asvh","https://drive.google.com/file/d/1L1hAnlxXPHAhtMOMV79zMF3nx7jYWv3b/view?usp=sharing"
"2023/03/25 4:05:29 PM CST","Selectly","2 - 3 Years","Selectly","Selectly is a web app to help indecisive people make decisive decisions. We use a 'Tinder'-like interface to allow users to better collaborate with those they care about. We use simple and scalable technology to work with groups both small and large. Got a decision to make? Use Selectly!","We used Vite.js, React.js, Express.js, Material UI, Node.js, and Prisma. Additionally we used the Google near me API, and Watchmode movie API","https://github.com/LandonDoyle7599/Selectly",,"https://drive.google.com/file/d/1ettNxEanLKLQBBBU-_Z3484wYPJyCIPh/view?usp=sharing"
"2023/03/25 4:05:39 PM CST","Gift Shark","1 - 2 Years","Gift Shark","This is a web app that is for booking appointments and donating to charities upon booking. ","Vue js, laravel, python, beautifulsoup, vanilla javascript","(Private Repo, I can give access) github.com/Nine-Design-Web/gift-shark","https://drive.google.com/u/1/open?usp=forms_web&id=1KTuM2nRHUU-VqlgsPva3tWTVshAqOcSd",
"2023/03/25 4:06:48 PM CST","Kade","2 - 3 Years","Nintendo DS Tower Defense","A game built with LibNDS and LibGL2D that runs on a Nintendo DS.","LibNDS, LibGL2D","https://github.com/ArKade523/HackUSU2023","https://drive.google.com/u/1/open?usp=forms_web&id=1rWbyjE7kiQD1FxVFFvcTfWJiz9Ay1CW5",
"2023/03/25 4:08:04 PM CST","BabyWerWer","2 - 3 Years","SiteSlice","SiteSlice is a webapp that allows you to edit any basic website that you own, simply within your browser. We created a single page react app, a custom API, and a custom Proxy Server to accomplish this. ","React.js, Express.js","https://github.com/chaysest/SiteSlice","https://drive.google.com/u/1/open?usp=forms_web&id=1lMZmBFuGmMKMvdo48phiW3dzkjDXwxdn",
"2023/03/25 4:08:05 PM CST","The Cubers","2 - 3 Years","Minecraft Server Management","Web page interface to simplify administration of remote Minecraft servers. Servers can be started and some settings can be modified.","We used Django as a web framework.","https://github.com/joshua-hales/mc-server-management","https://drive.google.com/u/1/open?usp=forms_web&id=1lQzkNZRNU-FBoT4b6-pek8vZM9XuNbYe",
"2023/03/25 4:11:10 PM CST","bragi bois","4+ Years","BragiTag","A robust web-gui for the remote management of audio metadata","python flask, python music-tag, docker","https://github.com/TechenPro/bragitag   https://github.com/TechenPro/bragitag-docker","https://drive.google.com/u/1/open?usp=forms_web&id=1Rn4bC4RS2pVA-zGQhWZRIfDeR9lfuYMe",
"2023/03/25 5:09:51 PM CST","PacePal","2 - 3 Years","PacePal","PacePal is an application that is designed for track and field coaches and teams to be able to record their times and statistics and to gain insights on their performance. Coaches can measure the improvement of their athletes and distribute workouts and goals amongst their team. Athletes can see their personal bests and their history of competing at events.","NodeJs, ExpressJs, MongoDB, React, MaterialUI","https://github.com/504knight/PacePal-Frontend, https://github.com/504knight/PacePal-Backend",,
